index_content,word,nature,content_type,index_word
19,信赖,n,pos,6
21,太阳能,n,pos,2
22,感觉,n,pos,2
22,热水,n,pos,8
23,品牌,n,pos,4
25,太阳,ns,pos,4
26,售后,n,pos,1
27,质量,n,pos,1
27,暖水,n,pos,3
29,下单,n,pos,3
29,员工,n,pos,7
29,上门,ns,pos,8
29,速度,n,pos,10
29,效率,n,pos,11
29,师傅,nr,pos,17
29,专业,n,pos,19
29,鞋套,n,pos,22
29,过程,n,pos,24
29,弄脏,n,pos,25
29,地方,n,pos,26
29,试用,vn,pos,30
29,量,n,pos,31
29,人用,n,pos,33
30,东西,ns,pos,1
30,价格,n,pos,3
30,实惠,vn,pos,4
30,省,n,pos,8
30,电,n,pos,9
30,老爸,n,pos,10
30,气,n,pos,12
30,遥控,vn,pos,13
30,灵敏,nr,pos,14
30,客服,n,pos,15
30,规范,n,pos,19
31,电话,n,pos,3
31,师傅,nr,pos,4
31,师傅,nr,pos,6
31,态度,n,pos,7
31,墙面,n,pos,14
31,收费,n,pos,18
31,块钱,n,pos,19
31,海尔,nrt,pos,22
31,漏水,n,pos,24
31,售后,n,pos,25
31,内胆,n,pos,26
31,总体,n,pos,32
32,售后,n,pos,2
32,认真负责,n,pos,3
32,货物,n,pos,4
32,目的地,n,pos,6
32,咨询,vn,pos,7
32,事宜,n,pos,9
32,指导,n,pos,10
32,人员,n,pos,12
32,厂家,n,pos,14
32,感觉,n,pos,15
32,销量,n,pos,17
32,人员,n,pos,20
33,质量,n,pos,1
33,卖家,n,pos,2
33,期望值,n,pos,9
33,发货,n,pos,10
33,速度,n,pos,11
33,物流,n,pos,15
33,公司,n,pos,16
33,服务态度,n,pos,17
33,速度,n,pos,19
33,购物,n,pos,22
34,速度,n,pos,1
34,服务,vn,pos,2
34,师傅,nr,pos,4
34,材料费,n,pos,11
35,质量,n,pos,4
35,服务态度,n,pos,7
35,教给,vn,pos,8
36,总体,n,pos,2
36,感觉,n,pos,3
36,保温,n,pos,5
36,性能,n,pos,6
36,遥控器,n,pos,7
36,功能,n,pos,8
36,小孩子,n,pos,9
37,商城,ns,pos,2
37,优质,n,pos,4
37,服务,vn,pos,5
37,管理,vn,pos,7
37,物流配送,n,pos,8
37,热情,n,pos,13
37,收件,n,pos,15
37,时间,n,pos,17
37,商城,ns,pos,19
37,售后,n,pos,20
37,管理,vn,pos,21
37,客户,n,pos,23
37,忧患,n,pos,24
37,购物,n,pos,27
37,体验,n,pos,28
38,活动,vn,pos,2
38,农村,n,pos,3
38,试用,vn,pos,7
38,烧水,n,pos,9
38,水量,n,pos,10
38,压力,n,pos,12
38,遥控器,n,pos,14
39,速度,n,pos,1
39,订单,n,pos,3
39,事故,n,pos,5
39,地址,n,pos,6
39,区域,n,pos,8
39,客服,n,pos,10
39,活动,vn,pos,12
39,价格比,n,pos,13
39,优惠,vn,pos,15
39,热水,n,pos,17
39,功耗,n,pos,19
39,牌子,n,pos,20
39,师傅,nr,pos,22
39,材料,n,pos,24
39,报表,n,pos,25
39,报表,n,pos,26
39,打勾,nz,pos,27
40,东西,ns,pos,3
40,品牌,n,pos,8
40,价格,n,pos,17
40,师傅,nr,pos,25
40,态度,n,pos,28
40,手脚,n,pos,29
40,麻利,nr,pos,30
40,块钱,n,pos,32
40,旧机,n,pos,34
40,管子,n,pos,35
40,钱,n,pos,36
40,效果,n,pos,40
40,品牌,n,pos,45
41,师傅,nr,pos,3
41,楼,n,pos,5
41,师傅,nr,pos,7
42,烧水,n,pos,4
42,性价比,n,pos,6
43,高端,n,pos,1
43,大气,n,pos,2
44,下单,n,pos,1
44,正品,n,pos,3
45,心爱,n,pos,4
45,东东,ns,pos,5
45,谢谢,nr,pos,6
46,产品,n,pos,1
46,师傅,nr,pos,2
48,外观,n,pos,1
48,时尚,n,pos,2
48,白色,n,pos,4
48,大气,n,pos,6
48,一键,n,pos,7
48,省,n,pos,10
48,时,ng,pos,11
48,一键,n,pos,12
48,中温,n,pos,13
48,保温,n,pos,14
48,省力,n,pos,15
48,遥控,vn,pos,17
48,液晶,n,pos,20
48,大屏,n,pos,21
48,师傅,nr,pos,24
48,细心,n,pos,25
48,服务,vn,pos,27
48,温暖,an,pos,28
48,小花,n,pos,30
48,品牌,n,pos,36
48,信赖,n,pos,38
49,线,n,pos,1
49,产品,n,pos,3
49,发货,n,pos,4
49,速度,n,pos,5
49,上门,ns,pos,8
49,人员,n,pos,11
49,业务,n,pos,12
49,素质,n,pos,14
49,牌子,n,pos,16
49,信赖,n,pos,18
49,人用,n,pos,23
49,购物,n,pos,25
49,体验,n,pos,26
49,性价比,n,pos,27
50,产品,n,pos,1
50,洗衣机,n,pos,4
50,师傅,nr,pos,6
50,免费,vn,pos,9
50,材料,n,pos,11
50,自带,n,pos,13
50,材料费,n,pos,18
50,收费,n,pos,20
51,购物,n,pos,1
51,力,n,pos,3
51,购物,n,pos,4
51,力,n,pos,6
51,量,n,pos,9
51,大师傅,nr,pos,10
51,宝贝,nr,pos,12
51,客服,n,pos,14
51,人员,n,pos,15
51,师傅,nr,pos,21
51,顾客,nr,pos,23
51,关心,n,pos,27
51,收费,n,pos,28
51,脚法,n,pos,30
51,管子,n,pos,31
51,收费,n,pos,32
51,购物,n,pos,34
51,用后感,n,pos,36
52,品牌,n,pos,1
52,信赖,n,pos,3
52,新房子,n,pos,5
52,售后,n,pos,7
52,人员,n,pos,11
52,穿鞋,n,pos,13
52,购物,n,pos,19
53,自营,vn,pos,2
53,商品,n,pos,3
53,理由,n,pos,6
53,退换货,n,pos,7
53,消费者,n,pos,8
53,电,n,pos,12
53,电子,n,pos,13
53,百货,n,pos,14
53,厂品,n,pos,15
53,信赖,n,pos,17
53,自营,vn,pos,18
55,无线,n,pos,4
55,遥控,vn,pos,5
55,家里人,nrt,pos,10
55,无线,n,pos,15
55,遥控,vn,pos,16
55,价格,n,pos,19
55,波动,vn,pos,21
56,外形,n,pos,4
56,大气,n,pos,5
56,卫生间,n,pos,7
56,颜色,n,pos,8
56,热水,n,pos,10
56,速度,n,pos,11
56,大容量,n,pos,12
56,太号,n,pos,17
56,欧,ns,pos,19
56,日子,n,pos,22
56,列车,n,pos,25
56,海洋,ns,pos,28
57,师傅,nr,pos,1
57,服务态度,n,pos,3
57,品牌,n,pos,5
57,速度,n,pos,7
58,品牌,n,pos,1
58,信赖,n,pos,3
58,速度,n,pos,7
58,师傅,nr,pos,13
58,气,n,pos,14
58,师傅,nr,pos,17
58,卫生,an,pos,20
59,自营,vn,pos,2
59,商品,n,pos,3
59,理由,n,pos,6
59,退换货,n,pos,7
59,消费者,n,pos,8
59,关键,n,pos,11
59,入门,ns,pos,12
59,门槛,n,pos,13
59,质量,n,pos,14
59,电子,n,pos,16
59,百货,n,pos,17
59,产品,n,pos,18
59,自营,vn,pos,20
59,产品,n,pos,21
59,信赖,n,pos,22
59,自营,vn,pos,23
60,水温,n,pos,5
61,太棒了,nr,pos,2
61,变频,vn,pos,4
61,水量,n,pos,6
61,价格,n,pos,7
62,牌子,n,pos,1
62,价格,n,pos,5
62,牌子,n,pos,6
62,感觉,n,pos,12
62,容积,n,pos,14
62,购物,n,pos,21
62,五星,nz,pos,22
63,外观,n,pos,2
63,颜值,n,pos,3
63,大方,n,pos,6
63,师傅,nr,pos,12
63,免费,vn,pos,14
63,材料费,n,pos,17
63,品牌,n,pos,18
63,信赖,n,pos,20
64,东西,ns,pos,1
64,质量,n,pos,3
64,外观,n,pos,6
64,大气,n,pos,7
64,颜色,n,pos,8
64,性价比,n,pos,13
64,物流,n,pos,14
64,师傅,nr,pos,15
64,热情,n,pos,16
65,品牌,n,pos,1
65,物流,n,pos,3
65,隔天,nz,pos,6
65,服务,vn,pos,10
65,材料费,n,pos,13
65,材料,n,pos,14
66,储水量,n,pos,2
66,品牌,n,pos,6
66,朋友,n,pos,8
67,商城,ns,pos,2
67,优质,n,pos,4
67,服务,vn,pos,5
67,管理,vn,pos,7
67,物流配送,n,pos,8
67,热情,n,pos,13
67,收件,n,pos,15
67,时间,n,pos,17
67,商城,ns,pos,19
67,售后,n,pos,20
67,管理,vn,pos,21
67,客户,n,pos,23
67,忧患,n,pos,24
67,购物,n,pos,27
67,体验,n,pos,28
67,商祺,nr,pos,30
70,尺寸,n,pos,1
70,质量,n,pos,4
70,品牌,n,pos,6
70,信赖,n,pos,8
70,师傅,nr,pos,10
70,专业,n,pos,11
70,美观,nz,pos,12
71,正品,n,pos,1
71,信奈,nr,pos,3
71,网购,n,pos,5
71,电,n,pos,6
71,上门,ns,pos,9
71,费用,n,pos,12
71,太贵,nr,pos,13
71,热水,n,pos,14
71,太阳能,n,pos,17
71,管道,n,pos,18
71,材料,n,pos,23
71,单子,n,pos,25
71,坑,n,pos,26
71,商城,ns,pos,27
71,封顶,n,pos,28
71,语,ng,pos,31
71,感觉,n,pos,32
71,材料,n,pos,35
71,水阀,n,pos,39
71,机器,n,pos,42
71,热水,n,pos,45
71,小时,n,pos,49
71,费水,n,pos,52
71,太小,n,pos,54
71,空间,n,pos,58
71,大点,n,pos,61
71,容量,n,pos,62
72,电视,n,pos,1
72,空气,n,pos,8
72,净化器,n,pos,9
73,信任,n,pos,3
73,服务,vn,pos,4
73,一流,n,pos,6
73,谢谢,nr,pos,7
74,品牌,n,pos,1
74,信赖,n,pos,3
74,下单,n,pos,7
74,外箱,n,pos,11
74,外观,n,pos,12
74,外观,n,pos,14
74,面板,n,pos,18
74,总体,n,pos,23
75,产品,n,pos,1
75,外观,n,pos,3
75,实惠,vn,pos,5
75,电话,n,pos,9
75,客服,n,pos,12
75,客服,n,pos,13
75,态度,n,pos,14
75,效率,n,pos,15
75,后号,n,pos,16
75,太阳能,n,pos,21
75,材料费,n,pos,23
75,感觉,n,pos,26
75,小哥,n,pos,29
75,态度,n,pos,30
75,小哥,n,pos,33
75,感觉,n,pos,37
75,评论,n,pos,39
76,师傅,nr,pos,5
77,品牌,n,pos,1
77,品牌,n,pos,3
77,售后,n,pos,4
77,质量,n,pos,5
77,经济,n,pos,9
77,实惠,vn,pos,10
77,电脑,n,pos,11
77,温带,n,pos,13
77,遥控,vn,pos,14
77,实体店,n,pos,15
77,能耗,n,pos,18
78,价格合理,n,pos,1
78,卫生间,n,pos,2
78,建议,n,pos,4
78,先量,n,pos,6
78,尺寸,n,pos,7
78,师傅,nr,pos,9
78,材料价格,n,pos,12
78,材料费,n,pos,17
78,新房,n,pos,20
79,免费,vn,pos,5
79,材料,n,pos,6
79,收费,n,pos,7
79,材料,n,pos,9
79,材料,n,pos,11
79,费用,n,pos,12
79,地方,n,pos,13
79,管件,n,pos,14
79,情况,n,pos,15
79,师傅,nr,pos,18
79,态度,n,pos,19
80,棒棒,n,pos,2
80,信赖,n,pos,3
80,售后,n,pos,5
80,师傅,nr,pos,6
81,电器,n,pos,2
81,物流,n,pos,4
81,服务,vn,pos,6
81,质量,n,pos,10
81,电器,n,pos,14
82,评价,n,pos,2
82,师傅,nr,pos,4
82,认真负责,n,pos,5
82,质量,n,pos,6
82,咨询,vn,pos,9
82,师傅,nr,pos,11
82,登门,ns,pos,12
82,指导,n,pos,13
82,售后,n,pos,14
82,安装费,n,pos,16
82,小贵,nr,pos,17
82,五星,nz,pos,18
83,售后,n,pos,1
83,海尔,nrt,pos,3
83,海尔,nrt,pos,4
83,颜值,n,pos,10
83,颜值,n,pos,11
83,很漂亮,n,pos,14
83,插座,n,pos,15
83,插头,n,pos,24
83,人员,n,pos,27
83,态度,n,pos,28
83,材料费,n,pos,29
84,东西,ns,pos,3
84,感觉,n,pos,4
84,宝贝,nr,pos,5
84,实惠,vn,pos,7
84,总体,n,pos,14
84,性价比,n,pos,15
85,机子,n,pos,1
85,通水,n,pos,5
85,评价,n,pos,9
85,美观,nz,pos,10
85,大方,n,pos,11
85,牌子,n,pos,13
86,力,n,pos,2
86,宝贝,nr,pos,4
86,质量,n,pos,6
86,原因,n,pos,8
86,售后,n,pos,10
86,感觉,n,pos,13
87,品牌,n,pos,4
87,信赖,n,pos,6
87,正品,n,pos,7
87,低价,n,pos,8
87,态度,n,pos,12
88,速度,n,pos,3
88,性价比,n,pos,4
88,物流,n,pos,6
88,声音,n,pos,9
88,速度,n,pos,11
89,发货,n,pos,1
89,价格,n,pos,4
89,实惠,vn,pos,5
89,客服,n,pos,6
89,态度,n,pos,7
89,货,n,pos,9
89,时,ng,pos,12
89,质量,n,pos,18
89,宝贝儿,nr,pos,20
89,正品,n,pos,26
89,性价比,n,pos,27
89,店家,n,pos,37
89,售后,n,pos,38
89,力,n,pos,39
89,服务态度,n,pos,40
89,发货,n,pos,42
89,速度,n,pos,43
89,客服,n,pos,44
89,热情,n,pos,46
89,物流,n,pos,47
89,谢谢,nr,pos,53
89,店家,n,pos,54
89,客服,n,pos,55
89,售后,n,pos,56
89,人员,n,pos,57
89,态度,n,pos,61
89,发货,n,pos,62
89,实惠,vn,pos,67
89,店家,n,pos,68
89,细心,n,pos,69
89,结实,n,pos,71
89,哥,n,pos,74
89,态度,n,pos,75
90,下单,n,pos,2
90,楼,n,pos,9
91,物流,n,pos,2
91,款式,n,pos,4
91,大方,n,pos,6
91,礼拜,ns,pos,10
91,评论,n,pos,12
91,速度,n,pos,14
91,赞美,ns,pos,15
92,颜值,n,pos,2
92,东西,ns,pos,4
92,力,n,pos,5
92,洗菜,n,pos,7
92,热水,n,pos,10
92,服务,vn,pos,12
92,师傅,nr,pos,15
92,技术,n,pos,16
92,技术,n,pos,18
92,辅料,n,pos,20
93,物流,n,pos,1
93,速度,n,pos,2
93,信赖,n,pos,4
94,总体,n,pos,3
94,美观大方,ns,pos,4
94,价格便宜,n,pos,6
95,师傅,nr,pos,2
95,扫地,n,pos,5
95,解决问题,n,pos,6
95,谢谢,nr,pos,8
95,大赞,nr,pos,9
96,电器,n,pos,6
96,老家,n,pos,7
96,修路,n,pos,8
97,师傅,nr,pos,2
97,上门,ns,pos,3
97,移花,n,pos,5
97,墙,n,pos,7
97,洞,n,pos,9
97,水管,n,pos,12
97,管子,n,pos,18
97,试水,n,pos,20
97,水,n,pos,21
97,洗手台,nz,pos,22
97,温度,n,pos,26
97,小时,n,pos,30
97,线,n,pos,32
97,长度,ns,pos,33
97,明码标价,n,pos,35
97,安装费,n,pos,37
97,师傅,nr,pos,38
97,工作,vn,pos,40
97,现场,n,pos,41
97,断电,n,pos,44
98,东西,ns,pos,1
98,家里人,nrt,pos,3
98,朋友,n,pos,6
98,品牌,n,pos,8
98,金,n,pos,9
98,公公,n,pos,10
98,东西,ns,pos,11
99,步伐,n,pos,2
99,温度,n,pos,3
99,人性化,n,pos,6
99,遥控器,n,pos,7
99,东西,ns,pos,8
99,用手,n,pos,12
99,师傅,nr,pos,16
99,热情,n,pos,17
99,周全,nr,pos,20
100,价格,n,pos,1
100,实惠,vn,pos,2
100,师傅,nr,pos,3
101,免费,vn,pos,4
101,材料,n,pos,5
101,收费,n,pos,6
101,材料,n,pos,8
101,材料,n,pos,10
101,费用,n,pos,11
101,地方,n,pos,12
101,管件,n,pos,13
101,情况,n,pos,14
101,师傅,nr,pos,17
101,态度,n,pos,18
103,物流,n,pos,1
103,货,n,pos,7
103,师傅,nr,pos,11
105,电话,n,pos,4
105,工人,n,pos,9
105,水,n,pos,13
105,调试,vn,pos,14
105,照片,n,pos,15
105,回家,n,pos,17
105,整体,n,pos,19
105,服务,vn,pos,20
105,物流,n,pos,21
106,师傅,nr,pos,5
106,师傅,nr,pos,8
106,专业,n,pos,9
106,效果,n,pos,13
107,品牌,n,pos,1
107,品牌,n,pos,3
107,售后,n,pos,4
107,质量,n,pos,5
107,经济,n,pos,9
107,实惠,vn,pos,10
107,电脑,n,pos,11
107,温带,n,pos,13
107,遥控,vn,pos,14
107,实体店,n,pos,15
107,瓦,nr,pos,18
108,结实,n,pos,4
108,楼,n,pos,7
108,电梯,n,pos,8
108,师傅,nr,pos,9
108,服务,vn,pos,11
108,老人,n,pos,15
108,一学,n,pos,16
108,品牌,n,pos,18
108,信赖,n,pos,20
109,平房,n,pos,1
109,师傅,nr,pos,3
109,哥们,n,pos,5
109,增压泵,n,pos,7
109,水压,n,pos,8
109,图片,n,pos,9
109,哥们,n,pos,10
109,水路,n,pos,12
109,电线,n,pos,14
109,水泵,n,pos,16
109,全能,n,pos,17
109,人才,n,pos,18
110,数字,n,pos,1
110,热水,n,pos,5
110,插座,n,pos,6
110,免费,vn,pos,8
110,水管,n,pos,12
110,师傅,nr,pos,14
111,品牌,n,pos,2
111,性价比,n,pos,3
111,信赖,n,pos,6
111,师傅,nr,pos,15
111,统一,vn,pos,16
111,效率高,n,pos,19
112,品牌,n,pos,3
112,信赖,n,pos,5
112,师傅,nr,pos,7
112,态度,n,pos,8
112,速度,n,pos,9
112,小时,n,pos,12
112,管件,n,pos,14
112,收费,n,pos,15
112,质量,n,pos,16
112,效果,n,pos,19
113,人员,n,pos,5
113,上门,ns,pos,6
113,老婆,n,pos,8
113,容量,n,pos,10
113,外观,n,pos,11
113,大气,n,pos,12
113,购物,n,pos,15
113,服务,vn,pos,16
113,物流,n,pos,18
113,速度,n,pos,19
113,客户,n,pos,20
113,客服,n,pos,21
113,电话,n,pos,24
113,问安,n,pos,25
113,售后,n,pos,28
113,电话,n,pos,29
113,服务,vn,pos,30
114,小哥,n,pos,2
114,服务,vn,pos,3
114,八楼,n,pos,7
114,大雨,n,pos,11
114,人员,n,pos,13
114,配件,n,pos,15
114,小贵,nr,pos,16
115,服务态度,n,pos,4
115,机子,n,pos,9
115,需,n,pos,10
115,电源插座,n,pos,11
115,商品,n,pos,12
115,规格,n,pos,13
115,表里,n,pos,14
115,速度,n,pos,17
115,节奏,n,pos,20
115,洗澡水,nz,pos,25
115,过程,n,pos,30
115,水温表,n,pos,32
115,温度,n,pos,35
115,表象,n,pos,38
115,说明书,n,pos,39
115,微波炉,n,pos,47
115,电饭煲,n,pos,48
115,豆浆机,n,pos,49
115,水壶,n,pos,51
115,国产,n,pos,53
115,质量,n,pos,54
116,服务,vn,pos,2
117,订货,n,pos,1
117,发货,n,pos,4
117,速度,n,pos,5
117,客服,n,pos,8
117,电话,n,pos,9
117,老家,n,pos,11
117,乡村,n,pos,12
117,售后,n,pos,13
117,人员,n,pos,15
117,小时,n,pos,16
117,服务,vn,pos,19
118,师傅,nr,pos,3
118,成品,n,pos,6
118,效果,n,pos,7
118,卫生间,n,pos,10
119,宝贝,nr,pos,1
119,师傅,nr,pos,3
119,角阀,n,pos,8
119,角阀,n,pos,11
119,办法,n,pos,15
120,师傅,nr,pos,5
121,品质,n,pos,1
121,信赖,n,pos,3
121,服务,vn,pos,4
121,曹,nr,pos,9
121,师傅,nr,pos,10
121,专业,n,pos,12
121,下雨天,n,pos,13
121,衣服,n,pos,14
121,信赖,n,pos,17
123,质量,n,pos,1
123,大功率,n,pos,3
123,钱,n,pos,10
123,省心,n,pos,11
124,经济,n,pos,3
124,实惠,vn,pos,4
125,电器,n,pos,2
125,品牌,n,pos,3
125,购物,n,pos,7
126,牌子,n,pos,2
126,信赖,n,pos,6
126,师傅,nr,pos,8
126,打扫卫生,nz,pos,12
126,五星,nz,pos,14
127,澡,ng,pos,9
128,物流,n,pos,1
128,价格,n,pos,3
128,自营,vn,pos,5
128,师傅,nr,pos,8
128,功率,n,pos,10
128,瓦,n,pos,11
128,烧水,n,pos,12
129,售后,n,pos,4
129,电话,n,pos,5
129,午门,ns,pos,8
129,辅料,n,pos,10
129,共元,n,pos,11
130,货,n,pos,2
130,上门,ns,pos,3
130,服务态度,n,pos,5
130,花钱,n,pos,8
130,钱,n,pos,10
130,实体店,n,pos,11
131,下单,n,pos,8
131,服气,n,pos,12
132,东西,ns,pos,1
132,东西,ns,pos,4
133,太阳能,n,pos,2
133,师傅,nr,pos,4
133,功夫,n,pos,5
133,价格便宜,n,pos,10
134,品牌,n,pos,1
134,信任,n,pos,3
134,速度,n,pos,5
134,师傅,nr,pos,8
134,五星,nz,pos,10
135,好长时间,n,pos,1
135,速度,n,pos,4
135,遥控,vn,pos,7
135,客服,n,pos,10
135,卖家,n,pos,12
135,总会,n,pos,13
135,朋友,n,pos,17
136,产品,n,pos,1
136,美观,nz,pos,4
136,家人,n,pos,5
136,老家,n,pos,7
137,管子,n,pos,4
137,总体,n,pos,7
138,师傅,nr,pos,2
138,机器,n,pos,5
139,服务,vn,pos,2
139,力,n,pos,3
140,帅气,n,pos,1
140,人员,n,pos,3
140,礼貌,n,pos,4
140,产品,n,pos,7
140,言论,n,pos,10
141,机器,n,pos,3
141,性价比,n,pos,4
141,师傅,nr,pos,7
141,力,n,pos,8
142,电费,n,pos,3
142,师傅,nr,pos,5
142,用心,n,pos,6
142,图,n,pos,9
142,态度,n,pos,10
143,小时,n,pos,2
143,漏水,n,pos,3
143,师傅,nr,pos,5
143,浪费,n,pos,8
143,顾客,nr,pos,9
143,时间,n,pos,10
143,商家,n,pos,13
144,品质,n,pos,1
144,外观,n,pos,2
144,美,ns,pos,3
144,性能,n,pos,4
145,师傅,nr,pos,4
145,力,n,pos,5
145,材料费,n,pos,7
145,大洋,ns,pos,9
146,机器,n,pos,1
146,服务,vn,pos,2
146,师傅,nr,pos,6
146,热心,n,pos,7
146,考究,vn,pos,8
147,师傅,nr,pos,2
147,态度,n,pos,3
148,品牌,n,pos,1
148,信赖,n,pos,3
148,实惠,vn,pos,4
148,家人,n,pos,6
149,样样,n,pos,2
149,信任,n,pos,4
150,密封,ns,pos,4
150,皮圈,n,pos,5
151,服务,vn,pos,3
151,速度,n,pos,5
151,质量,n,pos,6
152,哥们,n,pos,2
152,哥们,n,pos,6
154,师傅,nr,pos,2
154,插孔,n,pos,5
154,信赖,n,pos,7
155,感觉,n,pos,1
155,图,n,pos,7
156,感觉,n,pos,1
156,水流,n,pos,3
157,高端,n,pos,1
157,大气,n,pos,2
157,师傅,nr,pos,5
157,师傅,nr,pos,8
157,技术,n,pos,9
157,一流,n,pos,10
158,烧水,n,pos,2
158,热水澡,n,pos,6
159,东西,ns,pos,2
159,小巧,n,pos,3
159,地方,n,pos,5
161,品牌,n,pos,1
161,信赖,n,pos,3
161,热水,n,pos,4
161,质量保证,n,pos,5
162,明珠,nr,pos,2
162,快讯,nz,pos,6
162,双语,nz,pos,8
162,高层,n,pos,9
162,楼,n,pos,10
162,业主,n,pos,11
162,本店,n,pos,12
162,时尚,n,pos,15
162,大气,n,pos,16
162,明珠,nr,pos,18
162,买灯,n,pos,21
162,明珠,nr,pos,24
162,特价,n,pos,29
162,产品,n,pos,30
163,师傅,nr,pos,5
163,产品,n,pos,6
163,管子,n,pos,8
163,总体,n,pos,12
164,人员,n,pos,4
164,质量,n,pos,7
164,杠杠,n,pos,8
165,价格公道,n,pos,1
165,师傅,nr,pos,3
165,价格公道,n,pos,6
165,师傅,nr,pos,8
165,价格公道,n,pos,11
165,师傅,nr,pos,13
165,价格公道,n,pos,16
165,师傅,nr,pos,18
165,价格公道,n,pos,21
165,师傅,nr,pos,23
165,价格公道,n,pos,26
165,师傅,nr,pos,28
166,师傅,nr,pos,4
166,力,n,pos,5
166,服务,vn,pos,8
166,热情,n,pos,9
166,漏电,nz,pos,14
166,信赖,n,pos,16
167,藤县,ns,pos,2
167,客服,n,pos,5
167,大大的,nz,pos,6
167,责任心,n,pos,9
167,老妈,n,pos,11
167,收货,n,pos,14
167,客服,n,pos,17
167,态度,n,pos,21
168,热水,n,pos,1
168,保温,n,pos,3
168,智能,n,pos,4
168,价格便宜,n,pos,5
169,设置,vn,pos,3
169,花里胡哨,nr,pos,4
169,高科技,nz,pos,5
169,功能,n,pos,7
169,遥控,vn,pos,12
169,保温,n,pos,14
169,省心,n,pos,15
170,东西,ns,pos,1
170,力,n,pos,2
170,师傅,nr,pos,5
170,配件,n,pos,7
171,感觉,n,pos,2
172,大容量,n,pos,2
172,遥控,vn,pos,3
173,品牌,n,pos,1
173,信赖,n,pos,3
174,活动,vn,pos,2
174,价格,n,pos,4
174,实惠,vn,pos,5
175,专业,n,pos,3
176,师傅,nr,pos,4
176,速度,n,pos,5
177,产品,n,pos,1
177,图片,n,pos,3
177,美观,nz,pos,4
178,烧水,n,pos,1
178,师傅,nr,pos,3
179,美观,nz,pos,2
180,插座,n,pos,3
181,关电,n,pos,1
181,热水,n,pos,2
182,师傅,nr,pos,2
182,用心,n,pos,3
182,东西,ns,pos,4
183,师傅,nr,pos,3
183,收费,n,pos,4
184,星,n,pos,3
186,时,n,pos,4
186,电话,n,pos,7
186,楼,n,pos,11
186,售后,n,pos,12
186,银子,n,pos,19
187,服务,vn,pos,2
187,外观,n,pos,4
187,高端,n,pos,5
187,大气,n,pos,6
187,远程,n,pos,8
187,遥控,vn,pos,9
187,官方,n,pos,11
187,客服,n,pos,12
187,时间,n,pos,18
187,师傅,nr,pos,22
187,师傅,nr,pos,24
187,专业,n,pos,25
187,热心,n,pos,27
187,注意事项,n,pos,29
187,试用,vn,pos,31
187,触屏,n,pos,33
187,效果,n,pos,34
187,容量,n,pos,36
187,一家人,n,pos,38
187,品牌,n,pos,40
187,性价比,n,pos,41
187,效果,n,pos,44
187,家人,n,pos,48
187,朋友,n,pos,49
188,东西,ns,pos,1
188,遥控,vn,pos,2
188,智能,n,pos,3
188,省,n,pos,5
188,电,n,pos,6
188,温度,n,pos,10
